link_id,river_velocity1,lambda1,lambda2,max_storage,infiltration,percolation,surface_velocity,tr_subsurface,tr_groundwater,temp_threshold,melt_factor
497225,0.75,0,0,100,5,2,0.2,3,100,0,5
495228,0.75,0,0,100,5,2,0.2,3,100,0,5
470764,0.75,0,0,100,5,2,0.2,3,100,0,5
487604,0.75,0,0,100,5,2,0.2,3,100,0,5
487603,0.75,0,0,100,5,2,0.2,3,100,0,5
475489,0.75,0,0,100,5,2,0.2,3,100,0,5
494839,0.75,0,0,100,5,2,0.2,3,100,0,5
475488,0.75,0,0,100,5,2,0.2,3,100,0,5
497226,0.75,0,0,100,5,2,0.2,3,100,0,5
470200,0.75,0,0,100,5,2,0.2,3,100,0,5
487629,0.75,0,0,100,5,2,0.2,3,100,0,5
487628,0.75,0,0,100,5,2,0.2,3,100,0,5
487627,0.75,0,0,100,5,2,0.2,3,100,0,5
494836,0.75,0,0,100,5,2,0.2,3,100,0,5
487616,0.75,0,0,100,5,2,0.2,3,100,0,5
476078,0.75,0,0,100,5,2,0.2,3,100,0,5
487626,0.75,0,0,100,5,2,0.2,3,100,0,5
498862,0.75,0,0,100,5,2,0.2,3,100,0,5
480734,0.75,0,0,100,5,2,0.2,3,100,0,5
498194,0.75,0,0,100,5,2,0.2,3,100,0,5
488178,0.75,0,0,100,5,2,0.2,3,100,0,5
487611,0.75,0,0,100,5,2,0.2,3,100,0,5
487625,0.75,0,0,100,5,2,0.2,3,100,0,5
479684,0.75,0,0,100,5,2,0.2,3,100,0,5
524537,0.75,0,0,100,5,2,0.2,3,100,0,5
477751,0.75,0,0,100,5,2,0.2,3,100,0,5
473413,0.75,0,0,100,5,2,0.2,3,100,0,5
482559,0.75,0,0,100,5,2,0.2,3,100,0,5
504313,0.75,0,0,100,5,2,0.2,3,100,0,5
492570,0.75,0,0,100,5,2,0.2,3,100,0,5
480132,0.75,0,0,100,5,2,0.2,3,100,0,5
504353,0.75,0,0,100,5,2,0.2,3,100,0,5
